#	希望	実装有無（Evidence）	インパクト	非機能要件	業務価値	判定	Evidence Ref	コメント
1	複数の PDF をアップロードしてブラウザ上で自由に並び替え、1 枚または任意枚数の PDF に結合したい	0					EVD-001	grep:pdf14件(表示のみ/結合機能なし)
2	見込管理UIを新設し、見込基本情報とTo Do管理、受注後処理の進捗、見込失注受注のステータス管理、受注後はボタンを押下すると顧問先情報に見込基本情報が引き継がれる	0					EVD-002	grep:見込0件
3	すべての処理はbatch apiで安く処理する	1					EVD-003	grep:batch45件+
4	担当者は複数の顧問先の未処理タスクを1画面で管理できる管理ボード	0					EVD-004	grep:dashboard存在
5	顧問先登録したらマジックURL等を発行し、顧問先は写真や添付で資料を共有できる	0					EVD-005	grep:magicUrl0件
6	管理ボードをスタッフはスマホでも閲覧し、操作できるようにする	0					EVD-006	grep:responsive0件
7	管理ボードを刷新し、各機能を一覧で閲覧し、新機能は気軽に追加できるUI	0					EVD-007	AdminDashboard.vue存在
8	すでに顧客になっている顧問先は顧問先新規登録編集ページで登録し、消費税免税等の仕訳時に必要な情報を入力できるようにする	1					EVD-008	ClientSchema存在
9	仕訳時に顧問先に確認、資料依頼、後で確認、スタッフに確認のタスクを立てて、後で一覧で確認できるようにする	0					EVD-009	grep:task存在(ScreenH)
10	AI自動記帳仕訳推論システムとして	1					EVD-010	AIRulesMapper.ts存在
11	過去の仕訳CSVや総勘定元帳、実際の人間の仕訳処理結果に基づいてAIが学習し、知識プロンプトを作成し、人間の仕訳処理を補助する	0					EVD-011	grep:learning0件
12	人間は過去の取引履歴やAIの提案、教科書的あるいはズボラするための提案を閲覧しながら仕訳処理ができるが、AIは絶対に自動で処理はしない。人間がすべて判断し、仕訳処理する	1					EVD-012	ScreenE_JournalEntry.vue存在
13	顧問先から共有された口座やクレカ明細PDF写真CSVや領収書、請求書等を技術的に処理して複合仕訳にも適用する形で仕訳処理ページに画像と仕訳候補と表示し、人間は複数の選択肢をクリックするまたは手入力することで仕訳処理ができる	1					EVD-013	ScreenE:画像表示あり
14	仕訳処理した結果は、財務エントリー、MF、Freee、弥生形式でインポートできるCSV形式で出力	1					EVD-014	ExportJournalCSV Schema存在
15	顧問先から共有された画像等のうち、メモや謄本、税務届など直接的に仕訳に関係ない画像等のデータも仕訳処理画面に提示し、仕訳外フォルダに移動できる	0					EVD-015	grep:非仕訳0件
16	geminiの各プランを自由に選択できる制御UI	3					EVD-016	ScreenZ_Settings.vue:57-59
17	全社固定ルールや会社独自の仕訳ルールを自動で知識にして仕訳時に補助情報として提示	1					EVD-017	AIRulesMapper.ts存在
18	重複、計算期間外を仕訳時に補助情報として提示	0					EVD-018	grep:duplicate0件
19	AIの提案した仕訳と人間修正後の差分を分析し、「次はこうすべき」というルール案を作成する	0					EVD-019	grep:diff0件
20	スタッフはgmailの無料アカウントまたは独自ドメインアカウントで入室する	0					EVD-020	grep:gmail0件
